Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
56b10,56b10_session1_listb_naming_trial001_choir.wav,1,b,naming,1,choir,976,correct,NA,Jan 19 2023 12:04:40,Agnieszka,1
56b10,56b10_session1_listb_naming_trial002_butcher.wav,1,b,naming,2,butcher,1188,correct,NA,Jan 19 2023 12:04:53,Agnieszka,1
56b10,56b10_session1_listb_naming_trial003_parrot.wav,1,b,naming,3,parrot,1087,correct,NA,Jan 19 2023 12:05:02,Agnieszka,1
56b10,56b10_session1_listb_naming_trial004_lion.wav,1,b,naming,4,lion,957,correct,NA,Jan 19 2023 12:05:12,Agnieszka,1
56b10,56b10_session1_listb_naming_trial005_chain.wav,1,b,naming,5,chain,1145,correct,NA,Jan 19 2023 12:05:26,Agnieszka,1
56b10,56b10_session1_listb_naming_trial006_scarf.wav,1,b,naming,6,scarf,944,correct,NA,Jan 19 2023 12:05:36,Agnieszka,1
56b10,56b10_session1_listb_naming_trial007_football.wav,1,b,naming,7,football,982,correct,NA,Jan 19 2023 12:05:46,Agnieszka,1
56b10,56b10_session1_listb_naming_trial008_mask.wav,1,b,naming,8,mask,1004,correct,NA,Jan 19 2023 12:05:53,Agnieszka,1
56b10,56b10_session1_listb_naming_trial009_keyboard.wav,1,b,naming,9,keyboard,969,correct,NA,Jan 19 2023 12:06:05,Agnieszka,1
56b10,56b10_session1_listb_naming_trial010_bat.wav,1,b,naming,10,bat,1014,correct,NA,Jan 19 2023 12:06:15,Agnieszka,1
56b10,56b10_session1_listb_naming_trial011_face.wav,1,b,naming,11,face,797,correct,NA,Jan 19 2023 12:06:28,Agnieszka,1
56b10,56b10_session1_listb_naming_trial012_thermometer.wav,1,b,naming,12,thermometer,1285,correct,NA,Jan 19 2023 12:06:36,Agnieszka,1
56b10,56b10_session1_listb_naming_trial013_chair.wav,1,b,naming,13,chair,1011,correct,NA,Jan 19 2023 12:06:44,Agnieszka,1
56b10,56b10_session1_listb_naming_trial014_earring.wav,1,b,naming,14,earring,883,correct,NA,Jan 19 2023 12:06:51,Agnieszka,1
56b10,56b10_session1_listb_naming_trial015_calendar.wav,1,b,naming,15,calendar,950,correct,NA,Jan 19 2023 12:07:01,Agnieszka,1
56b10,56b10_session1_listb_naming_trial016_caravan.wav,1,b,naming,16,caravan,1377,correct,NA,Jan 19 2023 12:07:08,Agnieszka,1
56b10,56b10_session1_listb_naming_trial017_house.wav,1,b,naming,17,house,1081,correct,NA,Jan 19 2023 12:07:20,Agnieszka,1
56b10,56b10_session1_listb_naming_trial018_sheep.wav,1,b,naming,18,sheep,858,correct,NA,Jan 19 2023 12:07:29,Agnieszka,1
56b10,56b10_session1_listb_naming_trial019_gun.wav,1,b,naming,19,gun,766,correct,NA,Jan 19 2023 12:07:48,Agnieszka,1
56b10,56b10_session1_listb_naming_trial020_cigarette.wav,1,b,naming,20,cigarette,829,correct,NA,Jan 19 2023 12:08:00,Agnieszka,1
56b10,56b10_session1_listb_naming_trial021_foot.wav,1,b,naming,21,foot,922,correct,NA,Jan 19 2023 12:08:08,Agnieszka,1
56b10,56b10_session1_listb_naming_trial022_eye.wav,1,b,naming,22,eye,817,correct,NA,Jan 19 2023 12:08:17,Agnieszka,1
56b10,56b10_session1_listb_naming_trial023_coffee.wav,1,b,naming,23,coffee,1008,correct,NA,Jan 19 2023 12:08:30,Agnieszka,1
56b10,56b10_session1_listb_naming_trial024_car.wav,1,b,naming,24,car,861,correct,NA,Jan 19 2023 12:08:42,Agnieszka,1
56b10,56b10_session1_listb_naming_trial025_glasses.wav,1,b,naming,25,glasses,893,correct,NA,Jan 19 2023 12:08:57,Agnieszka,1
56b10,56b10_session1_listb_naming_trial026_watch.wav,1,b,naming,26,watch,1336,correct,NA,Jan 19 2023 12:09:18,Agnieszka,1
56b10,56b10_session1_listb_naming_trial027_honey.wav,1,b,naming,27,honey,-1,no_resp,NA,Jan 19 2023 12:09:26,Agnieszka,1
56b10,56b10_session1_listb_naming_trial028_asparagus.wav,1,b,naming,28,asparagus,941,correct,NA,Jan 19 2023 12:09:48,Agnieszka,1
56b10,56b10_session1_listb_naming_trial029_king.wav,1,b,naming,29,king,852,correct,NA,Jan 19 2023 12:10:07,Agnieszka,1
56b10,56b10_session1_listb_naming_trial030_skeleton.wav,1,b,naming,30,skeleton,740,correct,NA,Jan 19 2023 12:10:24,Agnieszka,1
56b10,56b10_session1_listb_naming_trial031_back.wav,1,b,naming,31,back,963,correct,NA,Jan 19 2023 12:10:32,Agnieszka,1
56b10,56b10_session1_listb_naming_trial032_umbrella.wav,1,b,naming,32,umbrella,836,correct,NA,Jan 19 2023 12:10:42,Agnieszka,1
56b10,56b10_session1_listb_naming_trial033_bedroom.wav,1,b,naming,33,bedroom,-1,disfluency,NA,Jan 19 2023 12:10:49,Agnieszka,1
56b10,56b10_session1_listb_naming_trial034_hedgehog.wav,1,b,naming,34,hedgehog,-1,no_resp,NA,Jan 19 2023 12:10:56,Agnieszka,1
56b10,56b10_session1_listb_naming_trial035_shadow.wav,1,b,naming,35,shadow,947,correct,NA,Jan 19 2023 12:11:09,Agnieszka,1
56b10,56b10_session1_listb_naming_trial036_cloud.wav,1,b,naming,36,cloud,1355,correct,NA,Jan 19 2023 12:11:24,Agnieszka,1
56b10,56b10_session1_listb_naming_trial037_baby.wav,1,b,naming,37,baby,912,correct,NA,Jan 19 2023 12:11:31,Agnieszka,1
56b10,56b10_session1_listb_naming_trial038_guitar.wav,1,b,naming,38,guitar,845,correct,NA,Jan 19 2023 12:11:44,Agnieszka,1
56b10,56b10_session1_listb_naming_trial039_fist.wav,1,b,naming,39,fist,1020,correct,NA,Jan 19 2023 12:12:01,Agnieszka,1
56b10,56b10_session1_listb_naming_trial040_hair.wav,1,b,naming,40,hair,877,correct,NA,Jan 19 2023 12:12:13,Agnieszka,1
56b10,56b10_session1_listb_naming_trial041_maze.wav,1,b,naming,41,maze,1594,correct,NA,Jan 19 2023 12:12:23,Agnieszka,1
56b10,56b10_session1_listb_naming_trial042_ring.wav,1,b,naming,42,ring,944,correct,NA,Jan 19 2023 12:12:33,Agnieszka,1
56b10,56b10_session1_listb_naming_trial043_screwdriver.wav,1,b,naming,43,screwdriver,1008,correct,NA,Jan 19 2023 12:13:04,Agnieszka,1
56b10,56b10_session1_listb_naming_trial044_iron.wav,1,b,naming,44,iron,896,correct,NA,Jan 19 2023 12:13:21,Agnieszka,1
56b10,56b10_session1_listb_naming_trial045_brain.wav,1,b,naming,45,brain,1196,correct,NA,Jan 19 2023 12:13:28,Agnieszka,1
56b10,56b10_session1_listb_naming_trial046_girl.wav,1,b,naming,46,girl,1027,correct,NA,Jan 19 2023 12:13:42,Agnieszka,1
56b10,56b10_session1_listb_naming_trial047_skateboard.wav,1,b,naming,47,skateboard,1180,correct,NA,Jan 19 2023 12:13:54,Agnieszka,1
56b10,56b10_session1_listb_naming_trial048_penguin.wav,1,b,naming,48,penguin,848,correct,NA,Jan 19 2023 12:14:07,Agnieszka,1
